Date : 2026-07-04 16:09:31
Directory : t:\GAMES\No Name Yet\Assets
Total : 68 files,  2812 codes, 708 comments, 527 blanks, all 4047 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         68 |      2,812 |        708 |        527 |      4,047 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         68 |      2,812 |        708 |        527 |      4,047 |
| Code                                                                                     |         68 |      2,812 |        708 |        527 |      4,047 |
| Code\Character                                                                           |         12 |        399 |         77 |         69 |        545 |
| Code\Character\Player                                                                    |         12 |        399 |         77 |         69 |        545 |
| Code\Character\Player (Files)                                                            |          8 |        168 |         41 |         35 |        244 |
| Code\Character\Player\State                                                              |          4 |        231 |         36 |         34 |        301 |
| Code\Character\Player\State (Files)                                                      |          1 |         13 |         23 |          4 |         40 |
| Code\Character\Player\State\Normal                                                       |          3 |        218 |         13 |         30 |        261 |
| Code\Core                                                                                |         41 |      1,285 |        415 |        233 |      1,933 |
| Code\Core\Actor                                                                          |          2 |        142 |         35 |         35 |        212 |
| Code\Core\AnimationEvent                                                                 |          3 |         23 |         36 |          7 |         66 |
| Code\Core\AnimatorWrapper                                                                |          2 |         40 |         14 |         10 |         64 |
| Code\Core\Blackboard                                                                     |          1 |          7 |         17 |          6 |         30 |
| Code\Core\Checker                                                                        |         10 |        461 |         83 |         61 |        605 |
| Code\Core\Checker (Files)                                                                |          2 |         20 |         10 |          1 |         31 |
| Code\Core\Checker\CheckerData                                                            |          1 |          6 |          4 |          0 |         10 |
| Code\Core\Checker\Normal                                                                 |          7 |        435 |         69 |         60 |        564 |
| Code\Core\Controller                                                                     |          3 |         31 |         24 |          3 |         58 |
| Code\Core\Controller (Files)                                                             |          2 |         23 |         20 |          2 |         45 |
| Code\Core\Controller\InputData                                                           |          1 |          8 |          4 |          1 |         13 |
| Code\Core\Detector                                                                       |          2 |         78 |         43 |         13 |        134 |
| Code\Core\Effects                                                                        |          1 |         76 |         14 |         11 |        101 |
| Code\Core\EventCenter                                                                    |          1 |         28 |         23 |          8 |         59 |
| Code\Core\Interaction                                                                    |          2 |         27 |          0 |          5 |         32 |
| Code\Core\Manager                                                                        |          6 |        176 |         20 |         37 |        233 |
| Code\Core\State                                                                          |          2 |         32 |         45 |          8 |         85 |
| Code\Core\StateMachine                                                                   |          6 |        164 |         61 |         29 |        254 |
| Code\Core\StateMachine (Files)                                                           |          2 |         72 |         34 |         15 |        121 |
| Code\Core\StateMachine\Normal                                                            |          4 |         92 |         27 |         14 |        133 |
| Code\Data                                                                                |          1 |         33 |          4 |          8 |         45 |
| Code\Item                                                                                |          3 |        454 |         23 |         97 |        574 |
| Code\Pyhsics                                                                             |          4 |        388 |         93 |         87 |        568 |
| Code\Pyhsics\Attraction                                                                  |          1 |         98 |         18 |         22 |        138 |
| Code\Pyhsics\Buoyancy                                                                    |          2 |         76 |         30 |         22 |        128 |
| Code\Pyhsics\TurbForce                                                                   |          1 |        214 |         45 |         43 |        302 |
| Code\Utilities                                                                           |          7 |        253 |         96 |         33 |        382 |
| Code\Utilities (Files)                                                                   |          4 |        138 |         64 |         18 |        220 |
| Code\Utilities\TimerManager                                                              |          3 |        115 |         32 |         15 |        162 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                 | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
